Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,6.424361,6.614276,6.358874,6.378520,6.378520,4952214
2020-07-30,6.299935,6.378520,6.031434,6.247544,6.247544,5931632
2020-07-31,6.221349,6.221349,5.979044,6.110020,6.110020,4879987
2020-08-03,6.168959,6.535691,6.142764,6.483301,6.483301,4910679
2020-08-04,6.614276,7.491814,6.588081,7.275704,7.275704,11606574
2020-08-05,7.314997,7.635887,7.020301,7.531107,7.531107,8423085
2020-08-06,7.236411,7.786509,7.053045,7.308448,7.308448,7982851
2020-08-07,7.308448,8.074656,7.177472,7.766863,7.766863,10623186
2020-08-10,7.865095,8.218730,7.845449,7.943680,7.943680,7608125
2020-08-11,7.969876,7.976424,7.491814,7.616241,7.616241,5526060
2020-08-12,7.662083,8.133595,7.655534,7.799607,7.799607,8200448
2020-08-13,7.819253,8.009168,7.485265,7.629339,7.629339,11691476
2020-08-14,7.583497,7.668631,7.347741,7.432875,7.432875,4209023
2020-08-17,7.465619,7.694826,7.413229,7.518009,7.518009,3915992
2020-08-18,7.531107,7.740668,7.387033,7.694826,7.694826,3549817
2020-08-19,7.701375,8.388998,7.688278,7.799607,7.799607,9323557
2020-08-20,7.832351,7.858546,7.314997,7.354289,7.354289,5337629
2020-08-21,7.367387,7.681729,7.347741,7.662083,7.662083,4249641
2020-08-24,7.786509,8.120498,7.707924,7.956778,7.956778,5108731
2020-08-25,7.989522,8.742633,7.871644,8.696791,8.696791,9076641
2020-08-26,8.775377,9.462999,8.683694,8.919450,8.919450,12544000
2020-08-27,11.120000,12.340000,10.500000,11.050000,11.050000,15427400
2020-08-28,11.300000,11.840000,10.540000,11.430000,11.430000,12020100
2020-08-31,11.560000,11.740000,10.810000,11.190000,11.190000,7463700
2020-09-01,11.250000,12.460000,11.220000,11.930000,11.930000,8911300
2020-09-02,12.020000,12.390000,11.260000,12.050000,12.050000,5142000
2020-09-03,12.020000,12.090000,10.970000,11.220000,11.220000,5513700
2020-09-04,11.300000,11.400000,9.950000,11.090000,11.090000,6648000
2020-09-08,10.600000,11.420000,10.540000,10.990000,10.990000,4205400
2020-09-09,11.330000,11.820000,11.220000,11.730000,11.730000,3581000
2020-09-10,11.790000,11.890000,10.470000,10.660000,10.660000,7407000
2020-09-11,10.990000,11.380000,10.450000,10.640000,10.640000,5111700
2020-09-14,10.750000,10.990000,10.350000,10.970000,10.970000,4463500
2020-09-15,11.100000,11.240000,10.850000,11.020000,11.020000,4175300
2020-09-16,11.100000,11.420000,10.650000,10.690000,10.690000,5557000
2020-09-17,10.400000,10.410000,9.880000,9.890000,9.890000,4450300
2020-09-18,10.240000,10.400000,10.020000,10.110000,10.110000,8583300
2020-09-21,9.810000,10.070000,9.650000,10.030000,10.030000,2780200
2020-09-22,10.210000,10.320000,9.900000,10.170000,10.170000,2866900
2020-09-23,10.190000,10.810000,10.170000,10.210000,10.210000,5066700
2020-09-24,10.070000,10.420000,9.540000,10.140000,10.140000,3502100
2020-09-25,10.140000,10.750000,10.030000,10.660000,10.660000,3806700
2020-09-28,10.910000,12.340000,10.910000,11.700000,11.700000,13214400
2020-09-29,11.720000,12.910000,11.510000,11.960000,11.960000,14427900
2020-09-30,12.100000,13.390000,12.100000,12.510000,12.510000,11156600
2020-10-01,12.850000,13.540000,12.400000,13.360000,13.360000,9342800
2020-10-02,12.870000,14.060000,12.800000,13.560000,13.560000,7140400
2020-10-05,13.970000,15.940000,13.920000,15.560000,15.560000,14090000
2020-10-06,15.840000,16.400000,14.680000,15.610000,15.610000,14806600
2020-10-07,16.180000,18.170000,16.170000,17.330000,17.330000,18551000
2020-10-08,18.100000,18.250000,16.660000,16.889999,16.889999,13043100
2020-10-09,16.910000,17.950001,16.530001,17.430000,17.430000,9002000
2020-10-12,17.660000,17.680000,15.500000,16.520000,16.520000,15173800
2020-10-13,16.010000,17.129999,15.700000,16.660000,16.660000,8979800
2020-10-14,16.790001,17.190001,16.469999,16.870001,16.870001,7288300
2020-10-15,16.270000,17.080000,16.010000,16.980000,16.980000,6065000
2020-10-16,17.280001,17.969999,16.570000,16.969999,16.969999,14516900
2020-10-19,17.280001,19.379999,16.790001,17.520000,17.520000,18665400
2020-10-20,17.700001,18.360001,17.090000,17.690001,17.690001,11920800
2020-10-21,17.740000,18.200001,15.950000,16.120001,16.120001,10667500
2020-10-22,16.090000,16.590000,15.020000,16.410000,16.410000,13125200
2020-10-23,16.840000,17.180000,15.980000,16.860001,16.860001,8655700
2020-10-26,16.180000,16.830000,15.850000,16.420000,16.420000,9393000
2020-10-27,15.850000,16.280001,15.130000,15.490000,15.490000,9028900
2020-10-28,15.590000,16.780001,15.430000,16.200001,16.200001,9640400
2020-10-29,15.890000,17.250000,15.880000,16.389999,16.389999,9843600
2020-10-30,16.299999,16.440001,15.250000,15.990000,15.990000,6575800
2020-11-02,16.020000,16.930000,15.770000,16.850000,16.850000,8173600
2020-11-03,16.959999,18.170000,16.670000,17.049999,17.049999,10525300
2020-11-04,16.100000,16.820000,14.660000,16.570000,16.570000,22130000
2020-11-05,17.299999,19.820000,17.209999,19.389999,19.389999,17725800
2020-11-06,19.900000,21.290001,19.500000,20.330000,20.330000,14712300
2020-11-09,21.410000,21.600000,19.219999,19.260000,19.260000,9837700
2020-11-10,19.799999,20.170000,18.219999,18.570000,18.570000,6019900
